Source,Relationship,Target,Count
GraphExperiment|GraphDatabaseObject,interactionDetectionMethod,GraphCvTerm|GraphDatabaseObject,166202
GraphCvTerm|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,3962
GraphXref|GraphDatabaseObject,database,GraphCvTerm|GraphDatabaseObject,2467059
GraphXref|GraphDatabaseObject,qualifier,GraphCvTerm|GraphDatabaseObject,2142673
GraphCvTerm|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,8709
GraphCvTerm|GraphSource|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,5
GraphPublication|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,69805
GraphCvTerm|GraphSource|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,31
GraphAnnotation|GraphDatabaseObject,topic,GraphCvTerm|GraphDatabaseObject,136588
GraphCvTerm|GraphSource|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,21
GraphCvTerm|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,1691
GraphAlias|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,233686
GraphCvTerm|GraphDatabaseObject,synonyms,GraphAlias|GraphDatabaseObject,5397
GraphCvTerm|GraphSource|GraphDatabaseObject,synonyms,GraphAlias|GraphDatabaseObject,1
GraphOrganism|GraphDatabaseObject,cellType,GraphCvTerm|GraphDatabaseObject,1043
GraphOrganism|GraphDatabaseObject,tissue,GraphCvTerm|GraphDatabaseObject,382
GraphBinaryInteractionEvidence|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,1049472
GraphInteractionEvidence|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,562961
GraphExperiment|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,143541
GraphInteractor|GraphMolecule|GraphDatabaseObject,aliases,GraphAlias|GraphDatabaseObject,4958
GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,interactorType,GraphCvTerm|GraphDatabaseObject,1730
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,detectionMethods,GraphCvTerm|GraphDatabaseObject,38543
GraphParameter|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,27526
GraphExperiment|GraphDatabaseObject,participantDetectionMethod,GraphCvTerm|GraphDatabaseObject,48320
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,identificationMethods,GraphCvTerm|GraphDatabaseObject,1308532
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,558077
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,624861
GraphInteractor|GraphDatabaseObject|GraphComplex,evidenceType,GraphCvTerm|GraphDatabaseObject,1490
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,biologicalRole,GraphCvTerm|GraphDatabaseObject,1317791
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactionType,GraphCvTerm|GraphDatabaseObject,845890
GraphInteractionEvidence|GraphDatabaseObject,interactionType,GraphCvTerm|GraphDatabaseObject,513832
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,experimentalRole,GraphCvTerm|GraphDatabaseObject,1317791
GraphModelledEntity|GraphModelledParticipant|GraphDatabaseObject,biologicalRole,GraphCvTerm|GraphDatabaseObject,6733
GraphChecksum|GraphDatabaseObject,method,GraphCvTerm|GraphDatabaseObject,38924
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,experimentaPreparations,GraphCvTerm|GraphDatabaseObject,829432
GraphInteractor|GraphDatabaseObject,interactorType,GraphCvTerm|GraphDatabaseObject,1514
GraphBinaryInteractionEvidence|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,934313
GraphInteractionEvidence|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,522895
GraphParameter|GraphModelledParameter|GraphDatabaseObject,unit,GraphCvTerm|GraphDatabaseObject,2
GraphParameter|GraphDatabaseObject,unit,GraphCvTerm|GraphDatabaseObject,3615
GraphVariableParameter|GraphDatabaseObject,unit,GraphCvTerm|GraphDatabaseObject,60
GraphParameter|GraphModelledParameter|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,2
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,role,GraphCvTerm|GraphDatabaseObject,825
GraphInteractor|GraphDatabaseObject|GraphComplex,interactionType,GraphCvTerm|GraphDatabaseObject,1490
GraphOrganism|GraphDatabaseObject,aliases,GraphAlias|GraphDatabaseObject,528
GraphPosition|GraphDatabaseObject,status,GraphCvTerm|GraphDatabaseObject,705543
GraphModelledFeature|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,8461
GraphConfidence|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,222748
GraphFeature|GraphDatabaseObject,type,GraphCvTerm|GraphDatabaseObject,64
GraphInteractor|GraphMolecule|GraphDatabaseObject,interactorType,GraphCvTerm|GraphDatabaseObject,1724
GraphInteractor|GraphDatabaseObject|GraphComplex,interactorType,GraphCvTerm|GraphDatabaseObject,1627
GraphInteractor|GraphMolecule|GraphPolymer|GraphDatabaseObject,interactorType,GraphCvTerm|GraphDatabaseObject,1
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,interactorType,GraphCvTerm|GraphDatabaseObject,50588
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,xrefs,GraphXref|GraphDatabaseObject,751212
GraphInteractor|GraphMolecule|GraphDatabaseObject|GraphGene,interactorType,GraphCvTerm|GraphDatabaseObject,665
GraphModelledFeature|GraphDatabaseObject,role,GraphCvTerm|GraphDatabaseObject,27
GraphPublication|GraphDatabaseObject,pubmedId,GraphXref|GraphDatabaseObject,27984
GraphModelledFeature|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,9385
GraphModelledEntity|GraphModelledParticipant|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,17
GraphExperiment|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,327886
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,annotations,GraphAnnotation|GraphDatabaseObject,284405
GraphBinaryInteractionEvidence|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,1000780
GraphInteractionEvidence|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,580560
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,35352
GraphInteractor|GraphDatabaseObject|GraphComplex,xrefs,GraphXref|GraphDatabaseObject,18326
GraphPublication|GraphDatabaseObject,graphCurationDepth,GraphDatabaseObject|GraphCurationDepth,28872
GraphInteractor|GraphDatabaseObject|GraphComplex,source,GraphCvTerm|GraphSource|GraphDatabaseObject,1490
GraphPublication|GraphDatabaseObject,source,GraphCvTerm|GraphSource|GraphDatabaseObject,29692
GraphPublication|GraphDatabaseObject,annotations,GraphAnnotation|GraphDatabaseObject,42867
GraphExperiment|GraphDatabaseObject,hostOrganism,GraphOrganism|GraphDatabaseObject,166202
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,expressedIn,GraphOrganism|GraphDatabaseObject,121887
GraphBinaryInteractionEvidence|GraphDatabaseObject,experiment,GraphExperiment|GraphDatabaseObject,845890
GraphInteractionEvidence|GraphDatabaseObject,experiment,GraphExperiment|GraphDatabaseObject,585904
GraphPublication|GraphDatabaseObject,PUB_EXP,GraphExperiment|GraphDatabaseObject,166202
GraphInteractor|GraphDatabaseObject|GraphComplex,organism,GraphOrganism|GraphDatabaseObject,1627
GraphInteractor|GraphMolecule|GraphDatabaseObject,organism,GraphOrganism|GraphDatabaseObject,848
GraphInteractor|GraphDatabaseObject,organism,GraphOrganism|GraphDatabaseObject,1514
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,organism,GraphOrganism|GraphDatabaseObject,50588
GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,organism,GraphOrganism|GraphDatabaseObject,1730
GraphInteractor|GraphMolecule|GraphDatabaseObject|GraphGene,organism,GraphOrganism|GraphDatabaseObject,665
GraphInteractor|GraphMolecule|GraphPolymer|GraphDatabaseObject,organism,GraphOrganism|GraphDatabaseObject,1
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,uniprotkb,GraphXref|GraphDatabaseObject,48698
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,278819
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,preferredIdentifier,GraphXref|GraphDatabaseObject,50588
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,checksums,GraphChecksum|GraphDatabaseObject,40446
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,geneName,GraphAlias|GraphDatabaseObject,41400
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,aliases,GraphAlias|GraphDatabaseObject,196638
GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,893948
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,648
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,interactor,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,1287360
GraphDatabaseObject|GraphEntity,interactor,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,38163
GraphModelledEntity|GraphModelledParticipant|GraphDatabaseObject,interactor,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,5868
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactorA,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,802040
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactorB,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,827768
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactors,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,1609425
GraphClusteredInteraction|GraphDatabaseObject,interactorPA,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,405578
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,stoichiometry,GraphStoichiometry|GraphDatabaseObject,1265193
GraphDatabaseObject|GraphEntity,stoichiometry,GraphStoichiometry|GraphDatabaseObject,37930
GraphModelledEntity|GraphModelledParticipant|GraphDatabaseObject,stoichiometry,GraphStoichiometry|GraphDatabaseObject,6733
GraphRange|GraphDatabaseObject,start,GraphPosition|GraphDatabaseObject,564759
GraphRange|GraphDatabaseObject,end,GraphPosition|GraphDatabaseObject,564759
GraphRange|GraphDatabaseObject,resultingSequence,GraphResultingSequence|GraphDatabaseObject,556488
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,ranges,GraphRange|GraphDatabaseObject,564691
GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,PARTICIPANT_FEATURE,GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,671662
GraphDatabaseObject|GraphEntity,PARTICIPANT_FEATURE,GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,49016
GraphFeatureEvidence|GraphFeature|GraphDatabaseObject,PARTICIPANT_FEATURE,GraphDatabaseObject|GraphEntity,558077
GraphBinaryInteractionEvidence|GraphDatabaseObject,BIE_PARTICIPANTA,GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,845890
GraphBinaryInteractionEvidence|GraphDatabaseObject,IE_PARTICIPANT,GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,1679934
GraphInteractionEvidence|GraphDatabaseObject,IE_PARTICIPANT,GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,1317791
GraphClusteredInteraction|GraphDatabaseObject,interactorPB,GraphInteractor|GraphMolecule|GraphPolymer|GraphProtein|GraphDatabaseObject,392214
GraphBinaryInteractionEvidence|GraphDatabaseObject,BIE_PARTICIPANTB,GraphExperimentalEntity|GraphParticipantEvidence|GraphDatabaseObject|GraphEntity,845589
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactionEvidence,GraphInteractionEvidence|GraphDatabaseObject,845890
GraphClusteredInteraction|GraphDatabaseObject,interactions,GraphBinaryInteractionEvidence|GraphDatabaseObject,728426
GraphBinaryInteractionEvidence|GraphDatabaseObject,complexExpansion,GraphCvTerm|GraphDatabaseObject,335035
GraphCvTerm|GraphSource|GraphDatabaseObject,publication,GraphPublication|GraphDatabaseObject,3
GraphPublication|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,11425
GraphPublication|GraphDatabaseObject,imexId,GraphXref|GraphDatabaseObject,11311
GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,identifiers,GraphXref|GraphDatabaseObject,2952
GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,preferredIdentifier,GraphXref|GraphDatabaseObject,1730
GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,xrefs,GraphXref|GraphDatabaseObject,1191
GraphClusteredInteraction|GraphDatabaseObject,interactorPA,GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,902
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactors,GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,19593
GraphBinaryInteractionEvidence|GraphDatabaseObject,interactorA,GraphInteractor|GraphNucleicAcid|GraphMolecule|GraphPolymer|GraphDatabaseObject,12853
